p_category|p_name|p_description
Fruit|Apple|Juicy and crisp apple, perfect for snacking or baking.
Fruit|Banana|Sweet and creamy banana, a nutritious addition to any diet.
Fruit|Mango|Exotic and flavorful mango, delicious eaten fresh or in smoothies.
Fruit|Orange|Refreshing and citrusy orange, packed with vitamin C.
Fruit|Pineapple|Fresh and tropical pineapple, known for its sweet and tangy flavor.
Fruit|Kiwi|Tangy and refreshing kiwi, packed with vitamins and antioxidants.
Fruit|Watermelon|Juicy and hydrating watermelon, perfect for summertime refreshment.
Fruit|Grape|Sweet and succulent grapes, a refreshing snack on hot days.
Fruit|Strawberry|Plump and juicy strawberries, bursting with sweetness and vibrant red color.
Fruit|Pear|Sweet and succulent pear, with a delicate flavor and smooth texture.
Furniture|Sofa|Plush and comfortable sofa, designed for relaxation and lounging.
Furniture|Dining Table|Sturdy and stylish dining table, perfect for gathering family and friends for meals.
Furniture|Bed Frame|Elegant and durable bed frame, offering both support and style to your bedroom.
Furniture|Coffee Table|Modern and functional coffee table, ideal for serving drinks and displaying decor.
Furniture|Nightstand|Compact nightstand with a drawer for storing essentials beside the bed.
Furniture|Wardrobe|Spacious wardrobe with hanging rods and drawers, perfect for organizing clothes and accessories.
Furniture|Bookshelf|Versatile bookshelf with adjustable shelves, suitable for organizing books and decorative items.
Furniture|Desk Chair|Sleek and comfortable desk chair, designed for productivity and style.
Furniture|TV Stand|Sleek and versatile TV stand, designed to hold your television and media accessories.
Furniture|Armchair|Stylish armchair with plush cushioning, perfect for relaxing in any room.
Electronics|Laptop|Powerful laptop with fast SSD storage and long-lasting battery life.
Electronics|Smartphone|Advanced smartphone with high-resolution display and multi-core processor.
Electronics|Smart TV|Internet-connected smart TV with 4K resolution and built-in streaming apps.
Electronics|Wireless Speaker|Premium wireless speaker with crisp sound quality and sleek design.
Electronics|Headphones|Noise-canceling headphones with over-ear design and Bluetooth connectivity.
Electronics|Tablet|Versatile tablet with a touchscreen interface and access to a wide range of apps.
Electronics|Digital Camera|High-resolution digital camera with optical zoom and image stabilization.
Electronics|Smart Watch|Sleek smartwatch with fitness tracking features and customizable watch faces.
Electronics|Gaming Console|Next-generation gaming console with immersive graphics and online multiplayer capabilities.
Electronics|Fitness Tracker|Fitness tracker with heart rate monitoring and activity tracking functionalities.
Electronics|Bluetooth Earbuds|Wireless earbuds with Bluetooth connectivity and noise isolation technology.
Electronics|Power Bank|Portable power bank with fast charging capabilities and LED indicator lights.
Electronics|Action Camera|Compact action camera with waterproof housing and 4K video recording.
Electronics|Wireless Router|High-speed wireless router with multiple antennas for extended coverage.
Electronics|External Hard Drive|Reliable external hard drive with large storage capacity and USB 3.0 connectivity.
Electronics|Smart Home Hub|Intelligent smart home hub that controls connected devices and supports voice commands.
Electronics|Security Camera|Indoor/outdoor security camera with motion detection and night vision capabilities.
Electronics|Streaming Device|Streaming device for accessing a variety of entertainment apps and services.
Furniture|Office Desk|Stylish and functional office desk, perfect for working from home or in the office.
Furniture|Couch|Comfortable couch with soft cushions, ideal for lounging and relaxation.
Furniture|Bookcase|Tall bookcase with multiple shelves, great for organizing books and displaying decorative items.
Furniture|Dresser|Spacious dresser with drawers and compartments, perfect for storing clothes and accessories.
Furniture|Kitchen Table|Compact kitchen table with seating for four, suitable for small dining spaces.
Furniture|End Table|Sleek end table with a modern design, perfect for placing beside a sofa or armchair.
Furniture|Bar Stool|Adjustable bar stool with a swivel seat, great for seating at kitchen islands or bars.
Furniture|Cabinet|Versatile cabinet with doors and shelves, ideal for storing household items and supplies.
Furniture|Desk Lamp|Adjustable desk lamp with LED lighting, perfect for providing task lighting in home offices.
Furniture|Accent Chair|Stylish accent chair with a unique design, great for adding personality to any room.
Furniture|Rug|Soft and plush rug with a decorative pattern, perfect for adding warmth and style to floors.
Furniture|Side Table|Compact side table with a minimalist design, great for holding drinks and snacks beside a sofa.
Sport|Soccer (Football) | Soccer, known as football outside North America, is a team sport played by two teams of eleven players on a rectangular field with a goal at each end. The objective is to score by getting the ball into the opposing goal using any part of the body except the hands and arms.
Sport|Basketball | Basketball is a team sport where two teams of five players each try to score points by shooting a ball through the opponent's hoop, which is mounted ten feet high to a backboard at each end of the court. The game is played on a rectangular court and emphasizes dribbling, passing, and shooting.
Sport|Tennis | Tennis is a racket sport that can be played individually against a single opponent or between two teams of two players each. Players use a stringed racket to hit a ball over a net into the opponent's court. The goal is to win points by hitting the ball in such a way that the opponent is unable to return it.
Sport|Cricket | Cricket is a bat-and-ball game played between two teams of eleven players on a circular field. The game centers around batting and bowling, with the batting team aiming to score runs while the bowling and fielding team tries to restrict scoring and dismiss the batsmen.
Sport|Baseball | Baseball is a bat-and-ball game played between two teams of nine players who take turns batting and fielding. The batting team attempts to score runs by hitting a ball thrown by the pitcher and running to a series of four bases arranged in a diamond shape.
Sport|Rugby | Rugby is a contact team sport that originated in England. It is played with an oval-shaped ball that can be carried, kicked, and passed between players. The objective is to score points by touching the ball down in the opponent's in-goal area or kicking it between the goalposts.
Sport|Swimming | Swimming is an individual or team sport that involves moving through water using various strokes, such as freestyle, backstroke, breaststroke, and butterfly. Competitive swimming events range from short sprints to long-distance races in pools or open water.
Sport|Golf | Golf is a precision club-and-ball sport in which players use various clubs to hit balls into a series of holes on a course in as few strokes as possible. The sport emphasizes skill, strategy, and control.
Sport|Volleyball | Volleyball is a team sport where two teams of six players are separated by a net. Each team tries to score points by grounding the ball on the opponent's court, using a combination of passes, sets, and spikes. The game requires coordination, agility, and teamwork.
Sport|Boxing | Boxing is a combat sport in which two people, usually wearing protective gloves, throw punches at each other for a predetermined amount of time in a boxing ring. The objective is to score points by landing punches on the opponent or to knock out the opponent.

